actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,D,9.83188556117,2016-08-15 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,13,6.54806500845
1.0,1.0,D,55.3639112474,2016-09-13 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,13,-2.57149413685
1.0,1.0,D,9.89093343782,2016-09-20 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,13,20.9876124568
1.0,1.0,D,23.9636925605,2016-10-12 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,15,14.5191756801
1.0,1.0,D,3.47879970539,2016-10-18 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,16,19.2329116593
1.0,1.0,D,8.44209566583,2016-10-19 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,15,20.6011279526
0.99180327868852458,0.99180327868852458,B,16.8658648469,2016-07-05 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,11,26.3062143784
0.97014925373134331,0.97014925373134331,B,10.6642203109,2016-07-13 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,11,40.7701394719
1.0,1.0,B,11.7130066493,2016-07-26 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,7,60.4303857622
1.0,1.0,B,54.6910934853,2016-09-13 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,13,8.5210516268
1.0,1.0,B,2.47765740669,2016-09-20 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,13,99.7184531066
0.98969072164948457,0.98969072164948457,B,96.7039248169,2016-10-12 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,15,41.0264640312
1.0,1.0,B,6.59377643664,2016-10-18 00:00:00,1076892,shhsjtyp,上海何适家庭用品有限公司,16,100.0
1.0,1.0,Z,18.2494560258,2016-09-20 00:00:00,1076894,shhsjtyp,上海何适家庭用品有限公司,13,-3.49655651935
