actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
0.0,,0.0,Z,2016-09-12 00:00:00,2122741,11.0,0.0,19224720.0,ves0000218,上海昂升餐具有限公司,11
0.0,,0.0,Z,2016-09-19 00:00:00,2122741,11.0,0.0,19390821.0,ves0000218,上海昂升餐具有限公司,11
0.0,,0.0,Z,2016-10-12 00:00:00,2122741,23.0,0.0,20085680.0,ves0000218,上海昂升餐具有限公司,11
0.0,,0.0,Z,2016-10-17 00:00:00,2122741,26.0,0.0,20283105.0,ves0000218,上海昂升餐具有限公司,24
1.0,1.0,4.0,E,2016-08-15 00:00:00,2133448,4.0,4.0,18396358.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,8.0,E,2016-08-22 00:00:00,2133448,8.0,8.0,18577627.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,6.0,E,2016-09-01 00:00:00,2133448,6.0,6.0,18879395.0,bjzdx,北京紫丁香华盛日用品有限公司,4
1.0,1.0,3.0,E,2016-09-20 00:00:00,2133448,3.0,3.0,19423967.0,bjzdx,北京紫丁香华盛日用品有限公司,7
1.0,1.0,22.0,E,2016-10-12 00:00:00,2133448,22.0,22.0,20105111.0,bjzdx,北京紫丁香华盛日用品有限公司,5
1.0,1.0,10.0,E,2016-10-18 00:00:00,2133448,10.0,10.0,20336944.0,bjzdx,北京紫丁香华盛日用品有限公司,5
1.0,1.0,2.0,E,2016-07-26 00:00:00,2133457,2.0,2.0,17880327.0,jmsorz,江门市欧润哲家居用品有限公司,10
1.0,1.0,2.0,E,2016-08-15 00:00:00,2133457,2.0,2.0,18399064.0,jmsorz,江门市欧润哲家居用品有限公司,9
1.0,1.0,1.0,E,2016-08-29 00:00:00,2133457,1.0,1.0,18788982.0,jmsorz,江门市欧润哲家居用品有限公司,12
1.0,1.0,1.0,E,2016-09-05 00:00:00,2133457,1.0,1.0,18991002.0,jmsorz,江门市欧润哲家居用品有限公司,10
0.875,0.875,7.0,E,2016-09-12 00:00:00,2133457,8.0,8.0,19216349.0,jmsorz,江门市欧润哲家居用品有限公司,10
1.0,1.0,2.0,E,2016-09-27 00:00:00,2133457,2.0,2.0,19668876.0,jmsorz,江门市欧润哲家居用品有限公司,11
1.0,1.0,8.0,E,2016-10-08 00:00:00,2133457,8.0,8.0,19922287.0,jmsorz,江门市欧润哲家居用品有限公司,8
1.0,1.0,12.0,E,2016-10-12 00:00:00,2133457,12.0,12.0,20105216.0,jmsorz,江门市欧润哲家居用品有限公司,15
1.0,1.0,9.0,E,2016-10-18 00:00:00,2133457,9.0,9.0,20337052.0,jmsorz,江门市欧润哲家居用品有限公司,12
1.0,1.0,4.0,L,2016-08-02 00:00:00,2133528,4.0,4.0,18033481.0,ntmr,南通明润商贸有限公司,11
0.0,,0.0,L,2016-08-22 00:00:00,2133528,6.0,0.0,18577831.0,ntmr,南通明润商贸有限公司,11
0.0,,0.0,L,2016-08-29 00:00:00,2133528,3.0,0.0,18789018.0,ntmr,南通明润商贸有限公司,12
0.0,,0.0,L,2016-08-30 00:00:00,2133528,24.0,0.0,18827419.0,ntmr,南通明润商贸有限公司,11
0.0,,0.0,L,2016-09-05 00:00:00,2133528,7.0,0.0,18991233.0,ntmr,南通明润商贸有限公司,12
0.0,,0.0,L,2016-09-06 00:00:00,2133528,6.0,0.0,19036873.0,ntmr,南通明润商贸有限公司,11
0.0,,0.0,L,2016-09-12 00:00:00,2133528,10.0,0.0,19216525.0,ntmr,南通明润商贸有限公司,12
0.0,,0.0,L,2016-09-20 00:00:00,2133528,2.0,0.0,19424206.0,ntmr,南通明润商贸有限公司,11
0.96153846153846156,0.96153846153846156,50.0,C,2016-07-05 00:00:00,2144672,52.0,52.0,17418822.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,22.0,C,2016-07-13 00:00:00,2144672,22.0,22.0,17562627.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,31.0,C,2016-07-20 00:00:00,2144672,31.0,31.0,17722480.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,57.0,C,2016-07-26 00:00:00,2144672,57.0,57.0,17889573.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,12.0,C,2016-08-02 00:00:00,2144672,12.0,12.0,18034061.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,64.0,C,2016-08-08 00:00:00,2144672,64.0,64.0,18208663.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,31.0,C,2016-08-15 00:00:00,2144672,31.0,31.0,18401229.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,95.0,C,2016-08-29 00:00:00,2144672,95.0,95.0,18799943.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
0.96103896103896103,0.96103896103896103,74.0,C,2016-09-06 00:00:00,2144672,77.0,77.0,19005093.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,78.0,C,2016-09-19 00:00:00,2144672,78.0,78.0,19406266.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,12.0,C,2016-09-27 00:00:00,2144672,12.0,12.0,19678376.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
0.96666666666666667,0.96666666666666667,58.0,C,2016-10-08 00:00:00,2144672,60.0,60.0,19943215.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
0.69902912621359226,1.0,144.0,C,2016-10-13 00:00:00,2144672,206.0,144.0,20123207.0,gzxmcmy,广州美厨智能家居科技股份有限公司,6
0.9925373134328358,0.9925373134328358,133.0,C,2016-10-18 00:00:00,2144672,134.0,134.0,20345595.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,4.0,E,2016-08-09 00:00:00,2144688,4.0,4.0,18244747.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,11.0,E,2016-08-22 00:00:00,2144688,11.0,11.0,18597003.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,7.0,E,2016-09-06 00:00:00,2144688,7.0,7.0,19005093.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,5.0,E,2016-09-12 00:00:00,2144688,5.0,5.0,19224936.0,gzxmcmy,广州美厨智能家居科技股份有限公司,11
1.0,1.0,15.0,E,2016-09-13 00:00:00,2144688,15.0,15.0,19257698.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,10.0,E,2016-09-20 00:00:00,2144688,10.0,10.0,19445418.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,9.0,E,2016-09-29 00:00:00,2144688,9.0,9.0,19776850.0,gzxmcmy,广州美厨智能家居科技股份有限公司,14
1.0,1.0,31.0,E,2016-10-13 00:00:00,2144688,31.0,31.0,20123207.0,gzxmcmy,广州美厨智能家居科技股份有限公司,6
1.0,1.0,25.0,E,2016-10-18 00:00:00,2144688,25.0,25.0,20345598.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,16.0,E,2016-07-07 00:00:00,2144704,16.0,16.0,17452415.0,syxr,沈阳熙瑞经贸有限公司,6
1.0,1.0,7.0,E,2016-07-20 00:00:00,2144704,7.0,7.0,17735174.0,syxr,沈阳熙瑞经贸有限公司,7
1.0,1.0,8.0,E,2016-08-02 00:00:00,2144704,8.0,8.0,18050929.0,syxr,沈阳熙瑞经贸有限公司,10
1.0,1.0,1.0,E,2016-08-17 00:00:00,2144704,1.0,1.0,18466872.0,syxr,沈阳熙瑞经贸有限公司,7
1.0,1.0,4.0,E,2016-08-31 00:00:00,2144704,4.0,4.0,18840042.0,syxr,沈阳熙瑞经贸有限公司,8
1.0,1.0,4.0,E,2016-09-07 00:00:00,2144704,4.0,4.0,19052657.0,syxr,沈阳熙瑞经贸有限公司,7
1.0,1.0,72.0,E,2016-09-23 00:00:00,2144704,72.0,72.0,19566658.0,syxr,沈阳熙瑞经贸有限公司,5
